observed_categories,observed_source_decisions,category_rule_pattern,review_tier,suggested_manual_decision,suggestion_basis,profile_count,markets,sample_titles,group_manual_decision,group_decision_evidence,reviewed_by,reviewed_on,review_block_id,category_group_id,review_block_basis,review_domain,profiles_with_dental_title_signal,profiles_with_nondental_title_signal,profiles_with_unknown_categories,profiles_with_nonprovider_category_signal,profiles_with_existing_website,profiles_with_phone,profiles_without_website_or_phone,allowed_group_review_actions,reviewed_member_count
Dental clinic|Doctor,automatic_include|needs_category_review,include|manual_review,focused_category_conflict,include_dental_provider,at least one observed category has a frozen include rule,1,Modesto_CA_M,Grace Dental of Modesto,,,,,eligibility_review_block:6b8fae0a7f99b363,eligibility_group:b0858f026bb86e7a,singleton_profile,,1,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Acupuncturist,needs_category_review,unknown,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,LA_CA_L,Shafaa Center Integrative Medicine & Dentistry,,,,,eligibility_review_block:6bc9c265f023f817,eligibility_group:eaa7af85211eac46,singleton_profile,,1,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical Center,needs_category_review,manual_review,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,1,NYC_NY_L,Midwood Medical Plaza,,,,,eligibility_review_block:6cf9f9bd32248543,eligibility_group:d6a5057259cdd490,singleton_profile,,0,1,0,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Steve Taranov,,,,,eligibility_review_block:6e5d45e8df0dc5bb,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Dr. Lawrence Weiss,,,,,eligibility_review_block:6f6fe3623feb01f7,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Nursing home,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Meadow Park Rehab & Healthcare,,,,,eligibility_review_block:6f72609514868811,eligibility_group:0ec14e66a4663c8f,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Eureka_CA_S,Eureka Health Center- United Indian Health Services,,,,,eligibility_review_block:6f8050add09e52aa,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Queens Audiology PLLC,,,,,eligibility_review_block:7267602f470246f5,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Dental hygienist|Pediatric dentist,automatic_include|needs_category_review,exclude|include,focused_category_conflict,include_dental_provider,at least one observed category has a frozen include rule,1,Buffalo_NY_L,Humiston Bridget,,,,,eligibility_review_block:7271c7b768bc638d,eligibility_group:705b6e7d13b84d1a,singleton_profile,,0,0,0,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Bank,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Richter & Co Inc,,,,,eligibility_review_block:732e0898d029cc8f,eligibility_group:f471df0293731a06,singleton_profile,,0,0,1,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Skin care clinic,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Affinity Cosmetic Center,,,,,eligibility_review_block:73a856afb4f0d983,eligibility_group:7a6b4d7abd08fee8,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,1,LA_CA_L,La Paz Medical Group,,,,,eligibility_review_block:74ea05d8f7743397,eligibility_group:525c831a331b438e,singleton_profile,,0,1,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Doctor,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,"VisoDent NYC - Teeth whitening, Invisalign, Aesthetics clinic",,,,,eligibility_review_block:761ecb78576ac102,eligibility_group:5721d7584f64bb4b,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Emergency veterinarian service,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,NYC_NY_L,URvet Care - Upper East Side NYC,,,,,eligibility_review_block:76b152b240c22525,eligibility_group:2073a0e934c168e6,singleton_profile,,0,0,1,1,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,1,NYC_NY_L,Sunrise Pediatrics,,,,,eligibility_review_block:773484086f3124c3,eligibility_group:525c831a331b438e,singleton_profile,,0,1,0,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Dr. Rakesh Khilwani,,,,,eligibility_review_block:77df7f5ce749b192,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical equipment supplier,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Neobiotech USA,,,,,eligibility_review_block:787b501f5bf87685,eligibility_group:e254853096c923f9,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Dental clinic|Medical clinic,automatic_include|needs_category_review,include|manual_review,focused_category_conflict,include_dental_provider,at least one observed category has a frozen include rule,1,NYC_NY_L,3CK Complete Health & Family Dentistry,,,,,eligibility_review_block:78b0d96b424d0c50,eligibility_group:b5100c3d9e0ccdcb,singleton_profile,,1,0,0,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,NYC_NY_L,"Dr. Kamran Foroughi, DDS",,,,,eligibility_review_block:790c36fa14962ae5,eligibility_group:3a576676bc82902a,singleton_profile,,1,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Macon_GA_M,Macon Volunteer Clinic,,,,,eligibility_review_block:791b53455ab73cba,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Doctor,needs_category_review,manual_review,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,SanFrancisco_CA_L,"Raul A. Montalvo, DDS",,,,,eligibility_review_block:7935e4b41b3cca37,eligibility_group:933ded2705f84074,singleton_profile,,1,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Community health center,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Watts Healthcare - Watts Health Center,,,,,eligibility_review_block:7a29ede9493a7d8c,eligibility_group:75eedbc19c8622b7,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,1,LA_CA_L,Samaritana Medical Clinic - Alvarado,,,,,eligibility_review_block:7ab28d67ece161bd,eligibility_group:525c831a331b438e,singleton_profile,,0,1,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Dr. Fouy Chau,,,,,eligibility_review_block:7b15ab25d1c44c08,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,0,0,1,individual_review|exclude_non_dentist_category|include_dental_provider,
Manufacturer,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,Buffalo_NY_L,"Ivoclar Vivadent, Inc.",,,,,eligibility_review_block:7baf1bf3f7845bb8,eligibility_group:96cb5028b66511b9,singleton_profile,,0,0,1,1,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Speech pathologist,needs_category_review,unknown,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,NYC_NY_L,Taylor Judy a DDS,,,,,eligibility_review_block:7bcf7ac22b6f30a1,eligibility_group:6fc56a4974e7ffc2,singleton_profile,,1,0,1,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Park Avenue Neurology & Sleep,,,,,eligibility_review_block:7c7ee287e64f0031,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Hospital,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Augusta_GA_L,VA Downtown Division,,,,,eligibility_review_block:7cbbc7672ac0742d,eligibility_group:7a6fb05b52cfaa84,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic|Pediatric dentist,automatic_include|needs_category_review,include|manual_review,focused_category_conflict,include_dental_provider,at least one observed category has a frozen include rule,1,NYC_NY_L,"Darryl Wu, DDS/",,,,,eligibility_review_block:7d208ec37608b83d,eligibility_group:314f9fea485411aa,singleton_profile,,1,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
General practitioner,needs_category_review,unknown,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,LA_CA_L,Mark Wienberg DDS,,,,,eligibility_review_block:7d63f4b2365b8618,eligibility_group:2897f4835d55a24e,singleton_profile,,1,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Sleep clinic,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Encino Center for Sleep and TMJ Disorders,,,,,eligibility_review_block:7ebf7025ccbbcdfd,eligibility_group:d73fe04c4858867b,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical Center,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Augusta_GA_L,Shifa Care Clinic,,,,,eligibility_review_block:7fbbaf9a644ab9be,eligibility_group:b070ffeb7e138d00,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Animal hospital,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,Macon_GA_M,Hudspeth Animal Hospital,,,,,eligibility_review_block:82168cd18f5de654,eligibility_group:d1bdc0276582982d,singleton_profile,,0,1,1,1,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Comprehensive Community Health Centers - CCHC Glendale,,,,,eligibility_review_block:827d8844f8496075,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Plastic surgeon,needs_category_review,unknown,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,NYC_NY_L,Tooth Preventive Dental,,,,,eligibility_review_block:82a913c6c7df5028,eligibility_group:ddca1ad33db9248e,singleton_profile,,1,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Shopping mall,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,POLY PLAZA,,,,,eligibility_review_block:84024fdd1b906b78,eligibility_group:a610b283ab567286,singleton_profile,,0,0,1,0,0,0,1,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Atlanta_GA_L,Georgia State University Student Clinic,,,,,eligibility_review_block:848929f859c17027,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,KCS Health Center - Orangethorpe,,,,,eligibility_review_block:84d5cfec82085514,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Endoscopy Center At Skypark,,,,,eligibility_review_block:85379a70dc451991,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Health consultant,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,SanFrancisco_CA_L,Envoy Health,,,,,eligibility_review_block:86ab1347f293960d,eligibility_group:9b7c162f3e96d8ac,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Radiologist,needs_category_review,unknown,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,NYC_NY_L,"King Chong Chan, DMD",,,,,eligibility_review_block:86db2b541b44ffad,eligibility_group:24b84cf81d363dd1,singleton_profile,,1,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical Center,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Charles B. Wang Community Health Center,,,,,eligibility_review_block:879034564dc36aae,eligibility_group:b070ffeb7e138d00,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Venice Family Clinic - Simms/Mann Health Ctr,,,,,eligibility_review_block:89092459c850517d,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Veterinary care,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,Eureka_CA_S,Humboldt Spay/Neuter Clinic,,,,,eligibility_review_block:8934aa7eaec042f5,eligibility_group:7d6616894d81e917,singleton_profile,,0,0,1,1,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Community health center,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Buffalo_NY_L,Jericho Road Community Health Center at Buffalo City Mission,,,,,eligibility_review_block:8941a678d1b3e684,eligibility_group:75eedbc19c8622b7,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Community health center,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,2,LA_CA_L,Saban Community Clinic || Saban Community Clinic - Virgil,,,,,eligibility_review_block:89684b9e92614157,eligibility_group:75eedbc19c8622b7,shared_domain_within_category_group,www.sabancommunityclinic.org,0,0,0,0,2,2,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Alternative medicine practitioner,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Mundrugstore,,,,,eligibility_review_block:89b8b4dabb24bec0,eligibility_group:b5ae80e5ad7cea6d,singleton_profile,,0,0,1,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Sleep clinic,needs_category_review,unknown,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,NYC_NY_L,Long Island Dental Sleep Medicine,,,,,eligibility_review_block:8a4ca4e0033cfcc4,eligibility_group:d16e42946397b3ed,singleton_profile,,1,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Pediatric ophthalmologist,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Center for Hemifacial Microsomia and Ear Deformities,,,,,eligibility_review_block:8a887994f814d1e9,eligibility_group:2e00f425af73d508,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Sleep clinic,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Restful Sleep Solution,,,,,eligibility_review_block:8ae10c691fbd5a9e,eligibility_group:d73fe04c4858867b,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Dental school,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,NYC_NY_L,New York University College of Dentistry,,,,,eligibility_review_block:8ae3ebccef454414,eligibility_group:03aabea56f3fd971,singleton_profile,,1,1,1,1,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Housing society,needs_category_review,unknown,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,Eureka_CA_S,Wonenberg Brett DDS,,,,,eligibility_review_block:8b8b86d9966e8c67,eligibility_group:fdbeba08ad1ee9f8,singleton_profile,,1,0,1,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Research foundation,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,NYC_NY_L,Park Dental Research Corporation,,,,,eligibility_review_block:8be9425ce3c720f5,eligibility_group:47e685e7f3898679,singleton_profile,,1,0,1,1,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Urban Health Plan,,,,,eligibility_review_block:8c56a146890145f2,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Veterinarian,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,Atlanta_GA_L,Atlanta Veterinary Dentistry,,,,,eligibility_review_block:8c6d2956d67f4ec5,eligibility_group:33340ba2db18c2ad,singleton_profile,,1,1,1,1,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Dental school,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,Augusta_GA_L,Dental College of Georgia,,,,,eligibility_review_block:8cae2b3fb4cd7bdf,eligibility_group:03aabea56f3fd971,singleton_profile,,1,1,1,1,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Dental clinic|Dentist|Medical clinic,automatic_include|needs_category_review,include|manual_review,focused_category_conflict,include_dental_provider,at least one observed category has a frozen include rule,1,Augusta_GA_L,Christ Community Health Olde Town,,,,,eligibility_review_block:8d4ecce98325922e,eligibility_group:4a328709832d8373,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
University,needs_category_review,unknown,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,Buffalo_NY_L,UB Dental Clinic,,,,,eligibility_review_block:8d734675672b2814,eligibility_group:ac8e4225d949620f,singleton_profile,,1,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Buffalo_NY_L,Good Neighbors Health Care,,,,,eligibility_review_block:8e804d2e1514eb69,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,SanFrancisco_CA_L,Native American Health Center - 160 Capp St,,,,,eligibility_review_block:8eb204c9b069280e,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,"Mission City Community Network, Inc - North Hills",,,,,eligibility_review_block:8f83604a46ab74d8,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Hospital,needs_category_review,unknown,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,1,Syracuse_NY_M,St. Joseph's Health Hospital,,,,,eligibility_review_block:8fb67e439c1d9a22,eligibility_group:cce893253d25bbe4,singleton_profile,,0,1,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
STD clinic,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Atlanta_GA_L,Ponce De Leon Center,,,,,eligibility_review_block:91500f742546c595,eligibility_group:3850dec87c574304,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Surgical center,needs_category_review,manual_review,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,NYC_NY_L,"Sol D. Haber, DDS",,,,,eligibility_review_block:91ca2380d35d3566,eligibility_group:cd7c905ec844ba9b,singleton_profile,,1,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Community health center,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Clinicas Newbury Park Health Center,,,,,eligibility_review_block:92585a739ae9d706,eligibility_group:75eedbc19c8622b7,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Health insurance agency,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,Modesto_CA_M,Health Plan of San Joaquin,,,,,eligibility_review_block:9280573b17f7b52d,eligibility_group:038e10c5e6f8567c,singleton_profile,,0,0,1,1,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Kheir Clinic Suite 120,,,,,eligibility_review_block:92d8a1d1ce5ca255,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Shopping mall,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Foster Mall,,,,,eligibility_review_block:932b150e4e68c68d,eligibility_group:a610b283ab567286,singleton_profile,,0,0,1,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Community health center,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,SanFrancisco_CA_L,NEMS PACE San Francisco Chinatown Center,,,,,eligibility_review_block:96aff60da7afb43a,eligibility_group:75eedbc19c8622b7,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Plastic surgeon,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Stepanyan Surgical Arts Center,,,,,eligibility_review_block:9720555d6a8d1468,eligibility_group:ad9d7cea6cadeae3,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical group,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Virtual House Call Docs NYC,,,,,eligibility_review_block:97c82299835b1616,eligibility_group:a7d77b97fc90c3df,singleton_profile,,0,0,0,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Denture care center,needs_category_review,unknown,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,LA_CA_L,Urgent Care Dentist 24/7,,,,,eligibility_review_block:982c0640273abbbd,eligibility_group:e2e1c692637d4bf7,singleton_profile,,1,0,1,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Dentist|Denture care center|Periodontist,automatic_include|needs_category_review,include|unknown,focused_category_conflict,include_dental_provider,at least one observed category has a frozen include rule,1,Buffalo_NY_L,Buffalo Denture Care Services,,,,,eligibility_review_block:98dd77e0092e07bf,eligibility_group:b728695d69854e02,singleton_profile,,0,0,1,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Herbalist,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Buffalo_NY_L,CurlyJanes Crystal Rose,,,,,eligibility_review_block:98f404512480c445,eligibility_group:4ba8b77a4528c354,singleton_profile,,0,0,1,0,1,0,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Buffalo_NY_L,City Smiles,,,,,eligibility_review_block:993c355ef4785fad,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Surgical center,needs_category_review,manual_review,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,LA_CA_L,Burbank Oral & Maxillofacial Surgery,,,,,eligibility_review_block:9a1b5b872efc0bd0,eligibility_group:cd7c905ec844ba9b,singleton_profile,,1,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Sleep clinic,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,SleepWell Orthotics,,,,,eligibility_review_block:9a78754eb6133ea8,eligibility_group:d73fe04c4858867b,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Social services organization,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,"Antonia Sarris, LCSW",,,,,eligibility_review_block:9aa85c1c3f27d980,eligibility_group:62fd405f34bcf5e4,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,1,Modesto_CA_M,Golden Valley Health Centers—Medical Clinic,,,,,eligibility_review_block:9b1137600a4bfa8c,eligibility_group:525c831a331b438e,singleton_profile,,0,1,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Dr. Opal Goodridge,,,,,eligibility_review_block:9b6841e82e39baad,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Health and beauty shop,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Buffalo_NY_L,Smile Direct Club,,,,,eligibility_review_block:9bcc91b45e04eebf,eligibility_group:8ab421eda41309f2,singleton_profile,,0,0,1,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Immigration attorney,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Buffalo_NY_L,Richards and Jurusik Immigration Lawyers,,,,,eligibility_review_block:9c0cf569b6e7adc4,eligibility_group:ea5d31a9418eb3d1,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
